customer_id,transactoin_date,ticket_price,discount,product,info
0f345kjh345oiuy345,2010/08/19,29.99,,platinum,1
0fju234978rfjkhsdf,2012/01/05,29.99,,platinum,2
0f34ruiy23e78y2r,2009/08/11,29.99,,platinum,3
0fue298y2r23r23r2,2010/08/19,29.99,,platinum,4
0f345kjh345oiuy346,2010/08/19,29.99,,platinum,5
0fju234978rfjkhsdf,2010/08/19,9.99,5%,basic,6
0f34ruiy23e78y2r,2010/08/19,9.99,,basic,7
0fue298y2r23r23r3,2010/08/19,9.99,,basic,8
0f345kjh345oiuy347,2010/08/19,9.99,,basic,9
0fju234978rfjkhsdf,2011/08/11,9.99,5%,basic,10
0f34ruiy23e78y2r,2015/08/09,9.99,5%,basic,10
0fue298y2r23r23r4,,9.91,,basic,10
0f345kjh345oiuy348,,9.99,,basic,10
0fju234978rfjkhsdf,,14.99,5%,deluxe,10
0f34ruiy23e78y2r,,14.99,,deluxe,10
0fue298y2r23r23r5,,14.99,5%,deluxe,10
0f345kjh345oiuy349,,14.99,,deluxe,a
